,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,20, 01/02 20,0.0364269,0,0.154722,0,0.149895,0.345095,0,2.14768,1.33516,0.800555,0,0.686139,4.96953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0.0663671,0,0.160413,0,0.150577,0.944406,0,2.23908,3.62129,0.773183,0,1.32176,7.95531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0.135058,0,0.173587,0,0.1503,2.09992,0,2.22228,0.555034,0.656865,0,2.55887,5.99305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0.254931,0,0.19697,0,0.14966,2.86792,0,1.97035,0.477208,0.431067,0,3.46948,6.3481,2.21265,0,0,0,0,0,0,0,0,0,0,2.21265,2.21265,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0.569451,0,0.258648,0,0.148524,0.99303,0,1.68828,0.427149,0.266851,0,1.96965,4.35193,5.45036,0,0,0,0,0,0,0,0,0,0,5.45036,5.45036,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.691177,0,0.283209,0,0.144734,0.29428,0,1.36184,0.409877,0.157374,0,1.4134,3.34249,6.77878,0,0,0,0,0,0,0,0,0,0,6.77878,6.77878,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.736836,0,0.292544,0,0.143235,0,0,1.25303,0.388385,0.130004,0,1.17262,2.94403,7.28656,0,0,0,0,0,0,0,0,0,0,7.28656,7.28656,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7558,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.764142,0,0.298157,0,0.142662,0,0,1.18786,0.376145,0.102635,0,1.20496,2.8716,7.58731,0,0,0,0,0,0,0,0,0,0,7.58731,7.58731,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0147,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.79012,0,0.303515,0,0.142317,0,0,1.18448,0.367865,0.11632,0,1.23595,2.90461,7.8726,0,0,0,0,0,0,0,0,0,0,7.8726,7.8726,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3326,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0.898965,0,0.32614,0,0.141984,0,0,1.12495,0.354003,0.143689,0,1.36709,2.98973,9.06632,0,0,0,0,0,0,0,0,0,0,9.06632,9.06632,0,0,0,0,0,0,0,0,0,0,0,0,0,12.834,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0.810832,0,0.307775,0,0.14061,0.781589,0,1.219,0.364292,0.212113,0,2.04081,3.83621,8.12318,0,0,0,0,0,0,0,0,0,0,8.12318,8.12318,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6111,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0.64091,0,0.272967,0,0.141685,0.61668,0,1.369,0.400363,0.287378,0,1.67224,3.72898,6.2894,0,0,0,0,0,0,0,0,0,0,6.2894,6.2894,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0811,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00214869,0,0,9.94118,
1,3,8, 01/03 08,0.716946,0,0.288459,0,0.14374,2.46888,0,1.47074,0.535804,0.280536,0,3.61802,5.9051,7.0657,0,0,0,0,0,0,0,0,0,0,7.0657,7.0657,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5958,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000723813,0,0,7.20392,
1,3,9, 01/03 09,0.58286,0,0.261382,0,0.142806,0.886147,0,1.38294,1.59697,0.23264,0,1.87319,5.08575,5.67229,0,0,0,0,0,0,0,0,0,0,5.67229,5.67229,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97556,1269.81,1106.78,4.46339,89.9626,100,0.000236158,0.0060051,0.006288,9.27e-05,-0.336757,0,2.78985,
1,3,10, 01/03 10,0.463789,0,0.238187,0,0.144184,1.76456,0,1.32977,2.80526,0.198428,0,2.61072,6.94418,4.45733,0,0,0,0,0,0,0,0,0,0,4.45733,4.45733,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74068,1269.81,1106.78,4.39805,89.9626,100,0.000232701,0.0060051,0.006288,0,-0.888605,0,2.60538,
1,3,11, 01/03 11,0.242722,0,0.194597,0,0.146264,2.75832,0,1.35231,8.16003,0.184743,0,3.3419,13.039,2.1916,0,0,0,0,0,0,0,0,0,0,2.1916,2.1916,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75674,1269.81,1106.78,4.44371,89.9626,100,0.000235117,0.0060051,0.006288,0,-2.66295,0,2.61799,
1,3,12, 01/03 12,0.172105,0,0.180772,0,0.0887147,2.87324,0,1.33088,4.29274,0.171058,0,3.31483,9.10952,1.44323,0,0,0,0,0,0,0,0,0,0,1.44323,1.44323,0,0,0,0,0,0,0,0,0,0,0,0,0,7.707,1269.81,1106.78,4.34041,89.9626,100,0.000229651,0.0060051,0.006288,0,-3.64744,0,2.57892,
1,3,13, 01/03 13,0.101968,0,0.16725,0,0.0887147,3.53462,0,1.31879,6.24855,0.143689,0,3.89256,11.6036,0.740588,0,0,0,0,0,0,0,0,0,0,0.740588,0.740588,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73107,1269.81,1106.78,4.37915,89.9626,100,0.000231701,0.0060051,0.006288,0,-4.20074,0,2.59783,
1,3,14, 01/03 14,0,0,0.147841,0,0,2.83317,0,1.35906,5.47964,0.143689,0,2.98101,9.9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69318,1269.81,1106.78,4.31964,89.9626,100,0.000228552,0.0060051,0.006288,0,-5.94186,0,2.56807,
1,3,15, 01/03 15,0,0,0.147841,0,0,1.56056,0,1.42556,6.87631,0.143689,0,1.7084,10.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68832,1269.81,1106.78,4.32262,89.9626,100,0.00022871,0.0060051,0.006288,0,-5.12794,0,2.56425,
