; Tables for Std model AutoHardSize capacity look-up rules
,"BaseSys7or3b SuppCoilHtg-9","Resistance","BaseAirSys7or3b-9","n/a",32112.600,32112.600,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-10","Resistance","BaseAirSys7or3b-10","n/a",6783.275,6783.275,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-11","Resistance","BaseAirSys7or3b-11","n/a",11142.087,11142.087,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-12","Resistance","BaseAirSys7or3b-12","n/a",26247.838,26247.838,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-13","Resistance","BaseAirSys7or3b-13","n/a",34061.563,34061.563,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-14","Resistance","BaseAirSys7or3b-14","n/a",45101.375,45101.375,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-15","Resistance","BaseAirSys7or3b-15","n/a",1863.225,1863.225,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-16","Resistance","BaseAirSys7or3b-16","n/a",19657.700,19657.700,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-17","Resistance","BaseAirSys7or3b-17","n/a",15438.825,15438.825,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-18","Resistance","BaseAirSys7or3b-18","n/a",10519.513,10519.513,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-19","Resistance","BaseAirSys7or3b-19","n/a",30892.813,30892.813,0.00000,-99996.000,-99996.000
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25Fan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm)
,"BaseSys5 SupFan","VariableSpeedDrive","BaseAirSys5","UNDEFINED",7269.368,4096.296,0.650,"PowerPerUnitFlow",5.693,10.034,15.000,"InAirStream",0.924,1.1138
,"BaseSys5 SupFan-2","VariableSpeedDrive","BaseAirSys5-2","UNDEFINED",7047.787,2814.247,0.650,"PowerPerUnitFlow",5.587,9.546,10.000,"InAirStream",0.917,1.1014
,"BaseSys7or3b SupFan","ConstantVolume","BaseAirSys7or3b","n/a",1590.443,-99996.000,0.650,"PowerPerUnitFlow",3.356,1.294,1.500,"InAirStream",0.865,0.7013
,"BaseSys7or3b SupFan-2","ConstantVolume","BaseAirSys7or3b-2","n/a",1823.334,-99996.000,0.650,"PowerPerUnitFlow",3.360,1.485,1.500,"InAirStream",0.865,0.7021
,"BaseSys7or3b SupFan-3","ConstantVolume","BaseAirSys7or3b-3","n/a",509.220,-99996.000,0.650,"PowerPerUnitFlow",3.281,0.405,0.500,"InAirStream",0.855,0.6937
,"BaseSys7or3b SupFan-4","ConstantVolume","BaseAirSys7or3b-4","n/a",1656.198,-99996.000,0.650,"PowerPerUnitFlow",3.360,1.349,1.500,"InAirStream",0.865,0.7021
