,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,21, 01/01 21,0.547528,0.197969,7.87145,0,0.0102357,0,1.20844,1.56975,2.05188,0.0476204,0,9.83562,13.5049,0,0,0,0,0,0,0,0,0,0,0,0,0,120.005,0,0,0,0,0,0,0,0,0,0,120.005,120.005,6.54047,626.966,894.518,4.33943,89.9626,100,0.000229599,0.0054633,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0.00766065,0.161688,7.87145,0,0.00987659,0,1.20844,1.56975,2.05188,0.0476204,0,9.25911,12.9284,0,0,0,0,0,0,0,0,0,0,0,0,0,117.238,0,0,0,0,0,0,0,0,0,0,117.238,117.238,6.64531,626.966,894.518,4.51762,89.9626,100,0.000239027,0.0054633,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0.157457,0.16776,8.24001,0,0.0110239,0,1.20844,1.56975,2.05188,0.0476204,0,9.78469,13.4539,0,0,0,0,0,0,0,0,0,0,0,0,0,122.122,0,0,0,0,0,0,0,0,0,0,122.122,122.122,7.34658,626.966,894.518,4.52964,89.9626,100,0.000239663,0.0054633,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0.584618,0.183852,8.79035,0,0.0121375,0,1.20844,1.56975,2.05188,0.0476204,0,10.7794,14.4487,0,0,0,0,0,0,0,0,0,0,0,0,0,126.829,0,0,0,0,0,0,0,0,0,0,126.829,126.829,8.44597,626.966,894.518,4.53692,89.9626,100,0.000240048,0.0054633,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0.550021,0.182359,8.63304,0,0.0100017,0,1.94125,4.82671,2.05188,0.0476204,0,11.3167,18.2429,0,0,0,0,0,0,0,0,0,0,0,0,0,119.123,0,0,0,0,0,0,0,0,0,0,119.123,119.123,10.5414,626.966,894.518,8.44344,89.9626,100,0.000446742,0.0054633,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0.547608,0.18154,8.96589,0,0.00951723,0,1.94125,4.82671,2.05188,0.0476204,0,11.6458,18.572,0,0,0,0,0,0,0,0,0,0,0,0,0,117.191,0,0,0,0,0,0,0,0,0,0,117.191,117.191,9.59457,626.966,894.518,8.43068,89.9626,100,0.000446067,0.0054633,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0.578653,0.176086,8.6627,0,0.0097855,0,1.94125,4.82671,2.05188,0.0476204,0,11.3685,18.2947,0,0,0,0,0,0,0,0,0,0,0,0,0,118.668,0,0,0,0,0,0,0,0,0,0,118.668,118.668,9.17595,626.966,894.518,8.07648,89.9626,100,0.000427327,0.0054633,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0.554158,0.178527,9.10651,0,0.0105813,0,1.94125,4.82671,2.05188,0.0476204,0,11.791,18.7172,0,0,0,0,0,0,0,0,0,0,0,0,0,123.95,0,0,0,0,0,0,0,0,0,0,123.95,123.95,7.84334,626.966,894.518,5.75461,89.9626,100,0.000304476,0.0054633,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0.555036,0.175106,8.55598,0,0.00990418,0,1.94651,4.82671,2.05188,0.0476204,0,11.2425,18.1687,0,0,0,0,0,0,0,0,0,0,0,0,0,120.888,0,0,0,0,0,0,0,0,0,0,120.888,120.888,7.44165,626.966,894.518,4.70149,89.9626,100,0.000248756,0.0054633,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0.576534,0.177296,8.96102,0,0.00941421,0,1.95701,4.82671,2.05188,0.0476204,0,11.6813,18.6075,0,0,0,0,0,0,0,0,0,0,0,0,0,116.976,0,0,0,0,0,0,0,0,0,0,116.976,116.976,7.83044,626.966,894.518,5.73985,89.9626,100,0.000303695,0.0054633,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,14.9379,0.189003,23.5213,0,0.00835119,0,2.71083,6.45519,2.05188,0.0476204,0.150073,41.3674,50.0721,0,0,0,0,0,0,0,0,0,0,0,0,0,110.919,0,0,0,0,0,0,0,0,0,0,110.919,110.919,9.69625,626.966,894.518,7.50866,89.9626,100,0.000397283,0.0054633,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,9.03149,0.199804,23.5213,0,0.00697132,0,6.30182,23.0258,2.05188,0.260029,0.150073,39.0614,64.5492,0,0,0,0,0,0,0,0,0,0,0,0,0,101.605,0,0,0,0,0,0,0,0,0,0,101.605,101.605,7.57896,626.966,894.518,6.16084,89.9626,100,0.00032597,0.0054633,0.006288,0.000176325,-0.143177,0,3.28432,
1,2,9, 01/02 09,4.77897,0.217171,23.6049,0,0.00541559,0,10.76,42.7126,2.05188,0.395383,0.150073,39.3664,84.6764,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6399,0,0,0,0,0,0,0,0,0,0,79.6399,79.6399,6.44377,626.966,894.518,5.20798,89.9626,100,0.000275554,0.0054633,0.006288,0,-3.38969,0,2.41543,
