,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,20, 01/01 20,0,0.0822466,0.650089,0,0,0,0.962855,1.50055,1.54182,0,0,1.69519,4.73756,49.0085,0,0,0,0,10.9648,0,36.4532,0,0,0,59.9733,96.4265,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55135,626.966,894.518,4.37739,89.9626,100,0.000231608,0.0054633,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0.0822466,0.650089,0,0,0,0.962855,1.50055,1.54182,0,0,1.69519,4.73756,49.1839,0,0,0,0,8.69454,0,36.4532,0,0,0,57.8784,94.3316,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54047,626.966,894.518,4.33943,89.9626,100,0.000229599,0.0054633,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.650089,0,0,0,0.962855,1.50055,1.54182,0,0,1.61294,4.65531,47.2445,0,0,0,0,10.0767,0,30.3776,0,0,0,57.3212,87.6988,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64531,626.966,894.518,4.51762,89.9626,100,0.000239027,0.0054633,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0.0205617,0.650089,0,0,0,0.78779,1.25046,1.54182,0,0,1.45844,4.25072,50.6369,0,0,0,0,9.53538,0,20.2518,0,0,0,60.1723,80.424,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34658,626.966,894.518,4.52964,89.9626,100,0.000239663,0.0054633,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0.0822466,0.650089,0,0,0,0.525193,0.750276,1.54182,0,0,1.25753,3.54962,55.9969,0,0,0,0,3.68785,0,20.2518,0,0,0,59.6847,79.9365,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44597,626.966,894.518,4.53692,89.9626,100,0.000240048,0.0054633,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0.0822466,0.650089,0,0,0,0.262597,0.375138,1.54182,0,0,0.994932,2.91189,61.4725,0,0,0,0,4.91892,0,20.2518,0,0,0,66.3914,86.6432,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5414,626.966,894.518,8.44344,89.9626,100,0.000446742,0.0054633,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0.0822466,0.650089,0,0,0,0.262597,0.375138,1.54182,0,0,0.994932,2.91189,61.5729,0,0,0,0,3.60089,0,0,0,0,0,65.1738,65.1738,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59457,626.966,894.518,8.43068,89.9626,100,0.000446067,0.0054633,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0.0822466,0.650089,0,0,0,0.262597,0.375138,1.54182,0,0,0.994932,2.91189,64.919,0,0,0,0,3.60072,0,0,0,0,0,68.5197,68.5197,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17595,626.966,894.518,8.07648,89.9626,100,0.000427327,0.0054633,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0.0822466,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.344843,2.2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84334,626.966,894.518,5.75461,89.9626,100,0.000304476,0.0054633,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0.0822466,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.344843,2.2618,0,0,0,0,0,1.12072,0,0,0,0,0,1.12072,1.12072,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44165,626.966,894.518,4.70149,89.9626,100,0.000248756,0.0054633,0.006288,0.000305397,0,0,3.17922,
